"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
9.09,0.3,-0.05610200018,-0.07886300236,
9.11,0.299994973,-0.04770266265,-0.0423925664,
9.13,0.3000000001,-0.03694225103,-0.03928443302,
9.15,0.3,-0.04998100922,-0.04906554276,
9.17,0.3000000001,-0.06928633153,-0.04988642747,
9.19,0.3000000001,-0.1145881861,-0.1091407058,
9.21,0.3000000001,-0.1516222209,-0.1141448848,
9.23,0.3000000002,-0.1773212105,-0.1720332948,
9.25,0.3,-0.2323751301,-0.2611177752,
9.27,0.3000000001,-0.3157033622,-0.268593752,
9.29,0.3,-0.3573267758,-0.2692211458,
9.31,0.3,-0.4303414822,-0.3861367114,
9.33,0.2999957225,-0.4911625087,-0.4823424925,
9.35,0.2999957062,-0.5200163722,-0.4904161058,
9.37,0.2999957106,-0.5470938087,-0.5661042607,
9.39,0.2999956976,-0.6002358198,-0.5724559688,
9.41,0.2999957016,-0.6592242718,-0.6519520905,
9.43,0.2999957072,-0.6823999286,-0.6586233674,
9.45,0.299996085,-0.7221164107,-0.7176179749,
9.47,0.2999960437,-0.744089067,-0.7225688896,
9.49,0.299996034,-0.7984263301,-0.7920414861,
9.51,0.2999960217,-0.822473526,-0.7978716355,
9.53,0.2999960223,-0.8780183792,-0.8716513942,
9.55,0.299996018,-0.9135562181,-0.877874021,
9.57,0.2999960088,-0.930916667,-0.9292749946,
9.59,0.2999963514,-0.9421647787,-0.9335885775,
9.61,0.3000000001,-0.9482331872,-0.9438877594,
9.63,0.2999935622,-0.9528870583,-0.9472920285,
9.65,0.2999935553,-0.9403936267,-0.9475777189,
9.67,0.2999935564,-0.9300268888,-0.9314904971,
9.69,0.2999935587,-0.9088942409,-0.8969682662,
9.71,0.2999935574,-0.8837203979,-0.8940945649,
9.73,0.2999935552,-0.8718429208,-0.8737305854,
9.75,0.2999935572,-0.8597431779,-0.8720019292,
9.77,0.2999935542,-0.8541782498,-0.8556745864,
9.79,0.2999935701,-0.8326531053,-0.822881601,
9.81,0.2999935591,-0.818210125,-0.8201295737,
9.83,0.2999935573,-0.8247383237,-0.8243259923,
9.85,0.2999935483,-0.8257347345,-0.8246782388,
9.87,0.2999935497,-0.834946394,-0.8310095513,
9.89,0.3,-0.8414098024,-0.8315409581,
9.91,0.3,-0.8505668044,-0.8442628114,
9.93,0.2999965356,-0.8669447303,-0.8650393153,
9.95,0.299995488,-0.8731524348,-0.8667827365,
9.97,0.2999954754,-0.8976060152,-0.8950169964,
9.99,0.2999954683,-0.92118752,-0.8973862524,
10.01,0.2999954595,-0.9382740259,-0.9348400996,
10.03,0.299995451,-0.9632989764,-0.9379754276,
10.05,0.2999954505,-0.9799939394,-0.9764573827,
10.07,0.2999954536,-1.007442832,-0.9796868466,
10.09,0.2999954426,-1.012370706,-1.00961761,
10.11,0.2999954334,-1.025318861,-1.012129439,
10.13,0.2999954295,-1.021177888,-1.020423319,
10.15,0.2999954213,-1.030980825,-1.032453675,
10.17,0.2999954281,-1.029321194,-1.033463225,
10.19,0.2999954243,-1.021959305,-1.020083965,
10.21,0.2999954203,-1.016630888,-1.018961179,
10.23,0.2999954245,-1.004322886,-1.005550364,
10.25,0.2999954308,-0.991892457,-1.004433834,
10.27,0.2999954264,-0.9841532707,-0.9858632116,
10.29,0.2999954268,-0.9830476642,-0.9843048005,
10.31,0.2999954629,-0.9972891808,-0.9962075888,
10.33,0.2999950255,-1.01048708,-1.007859552,
10.35,0.2999965624,-1.006335258,-1.008837404,
10.37,0.2999974055,-0.9974702001,-0.9984137719,
10.39,0.29999513,-0.9973325133,-0.9975390272,
10.41,0.2999951442,-0.9652931094,-0.9679888426,
10.43,0.2999951498,-0.9381918907,-0.9655355262,
10.45,0.299995159,-0.9286415577,-0.9336690918,
10.47,0.2999951549,-0.9145432711,-0.9309948593,
10.49,0.2999951494,-0.8896315098,-0.9079618673,
10.51,0.2999951548,-0.8847466111,-0.8789071022,
10.53,0.2999951568,-0.8728820086,-0.8764688163,
10.55,0.2999951476,-0.8735108972,-0.8736200061,
10.57,0.2999951549,-0.8803720474,-0.8733782545,
10.59,0.2999951578,-0.8770609498,-0.8767408212,
10.61,0.2999951558,-0.8708316684,-0.8770230117,
10.63,0.2999951534,-0.8682591319,-0.8623989994,
