"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
6.759,0.2999949298,2.000981569,1.981992485,
6.779,0.2999949309,2.020792723,2.005258674,
6.799,0.2999942448,2.038330555,2.007211388,
6.819,0.2999942499,2.049215317,2.0348269,
6.839,0.2999942531,2.07107234,2.067138794,
6.859,0.2999942547,2.08430934,2.071996714,
6.879,0.2999942567,2.091232538,2.093759124,
6.899,0.2999942589,2.112769365,2.095586757,
6.919,0.2999942612,2.127352238,2.120054529,
6.939,0.2999944786,2.145535231,2.141135992,
6.959,0.2999946427,2.160610199,2.142904985,
6.979,0.2999946919,2.172804117,2.162601818,
6.999,0.3000009568,2.181593418,2.164254737,
7.019,0.3000009979,2.195579767,2.185676637,
7.039,0.2999958681,2.210653067,2.211939772,
7.059,0.29999587,2.226485014,2.214143208,
7.079,0.3,2.234080791,2.233699865,
7.099,0.2999914801,2.248726606,2.235340498,
7.119,0.3000000001,2.263245821,2.253041203,
7.139,0.3,2.270519733,2.254526124,
7.159,0.2999975011,2.283074141,2.273449105,
7.179,0.3,2.289030552,2.275036759,
7.199,0.3,2.316953897,2.299468551,
7.219,0.3,2.330727816,2.321578778,
7.239,0.3000000152,2.337702036,2.322053561,
7.259,0.3,2.353833437,2.344099888,
7.279,0.3,2.366181612,2.36393506,
7.299,0.2999989934,2.380838394,2.365598565,
7.319,0.3000000031,2.394971132,2.386761404,
7.339,0.2999999999,2.40918231,2.388536938,
7.359,0.2999994861,2.417083979,2.407925194,
7.379,0.3,2.430751324,2.430283651,
7.399,0.2999965988,2.442177296,2.432159615,
7.419,0.3,2.447519779,2.447677987,
7.439,0.3,2.459020376,2.44898004,
7.459,0.2999924549,2.472771883,2.464683516,
7.479,0.3000000002,2.48325491,2.48524419,
7.499,0.3000000002,2.496590137,2.486969456,
7.519,0.3000000004,2.503741026,2.50217062,
7.539,0.299999384,2.51367569,2.511233668,
7.559,0.2999998302,2.521200895,2.511992637,
7.579,0.3,2.527995825,2.522989493,
7.599,0.3,2.54022789,2.526386146,
7.619,0.3,2.548094988,2.540884468,
7.639,0.3,2.553753614,2.554491813,
7.659,0.3000000001,2.564236164,2.555286701,
7.679,0.3,2.565928459,2.566506573,
7.699,0.3,2.568359852,2.567448041,
7.719,0.3,2.571352482,2.570965179,
7.739,0.3,2.574885368,2.571001831,
7.759,0.3,2.57956171,2.576841482,
7.779,0.3,2.581881523,2.577331541,
7.799,0.3,2.590374947,2.588667001,
7.819,0.3,2.594600439,2.589618187,
7.839,0.3000000001,2.603653669,2.600511742,
7.859,0.3000000001,2.610735655,2.601425341,
7.879,0.3,2.617091656,2.611957261,
7.899,0.3,2.625166416,2.626060418,
7.919,0.3000000001,2.634132147,2.627243612,
7.939,0.3,2.637876511,2.642307806,
7.959,0.3000000001,2.643790722,2.643575816,
7.979,0.3000000001,2.650391579,2.653179476,
7.999,0.3000000001,2.654654026,2.650377973,
8.019,0.3,2.65905261,2.656018217,
8.039,0.3,2.662925243,2.661810123,
8.059,0.3,2.664798021,2.662296061,
8.079,0.3,2.673703194,2.667744237,
8.099,0.3,2.677179575,2.67681936,
8.119,0.3,2.682286978,2.677580474,
8.139,0.3,2.686274529,2.683434888,
8.159,0.3,2.689901114,2.689077444,
8.179,0.3,2.689758539,2.689550992,
8.199,0.3,2.690970421,2.691434137,
8.219,0.3,2.692313433,2.693932674,
8.239,0.3,2.696564674,2.694127501,
8.259,0.3,2.69682312,2.698285081,
8.279,0.3,2.698827982,2.698633762,
8.299,0.3,2.703565598,2.702983432,
8.319,0.3,2.708017826,2.703348243,
8.339,0.3,2.709677219,2.708481068,
8.359,0.3,2.71466279,2.715354063,
8.379,0.3,2.719457865,2.715930674,
8.399,0.3,2.724077225,2.722728345,
8.419,0.3,2.72642827,2.723298706,
8.439,0.3,2.731352568,2.730144633,
8.459,0.3,2.733134747,2.730718994,
8.479,0.3,2.734765768,2.730778856,
8.499,0.3,2.737552404,2.734830025,
8.519,0.3,2.739284515,2.735169348,
8.539,0.3000027298,2.744547129,2.739468558,
8.559,0.3001823734,2.748410225,2.749832708,
8.579,0.3003807305,2.751678228,2.750702333,
8.599,0.3008455673,2.756766558,2.756105286,
8.619,0.3016042495,2.758606911,2.755891835,
8.639,0.3026945046,2.763355017,2.762232813,
8.659,0.304094183,2.768122673,2.769133498,
8.679,0.305738461,2.768810272,2.769712354,
8.699,0.3075990243,2.769820452,2.771070737,
8.719,0.3096619531,2.77059865,2.77118477,
8.739,0.3119171198,2.77212882,2.773081437,
8.759,0.3142440799,2.774330378,2.775449505,
8.779,0.3165369378,2.776934385,2.775654885,
8.799,0.3188578708,2.778442383,2.778583176,
8.819,0.3211926039,2.780409336,2.778828804,
8.839,0.3233724507,2.782235384,2.783179746,
8.859,0.3252179135,2.783630848,2.783544798,
8.879,0.3268642546,2.787382364,2.785270919,
8.899,0.3288198438,2.789574385,2.785415752,
8.919,0.3311467101,2.78938961,2.790314383,
8.939,0.3336463325,2.792327881,2.793247895,
8.959,0.3360766167,2.793318272,2.793494073,
8.979,0.3384237423,2.794777632,2.795758896,
8.999,0.3411001943,2.79600358,2.796860589,
9.019,0.3441563441,2.797412157,2.798055809,
9.039,0.3474023238,2.798289061,2.799278952,
9.059,0.3506329526,2.797763348,2.798296985,
9.079,0.3538422743,2.800359011,2.798723316,
9.099,0.3574179425,2.800166607,2.800880014,
9.119,0.3613981815,2.798101425,2.801060975,
9.139,0.3655989324,2.797314882,2.799437596,
9.159,0.3697942533,2.798011541,2.799219162,
9.179,0.3738086192,2.794283152,2.799045526,
9.199,0.3778425059,2.793585539,2.796464129,
9.219,0.3822507838,2.793676853,2.794843254,
9.239,0.387000385,2.793323755,2.794543797,
9.259,0.3918554758,2.795431852,2.795275313,
9.279,0.3966386606,2.796298265,2.795336582,
9.299,0.4016265654,2.798201561,2.797631835,
9.319,0.4070214749,2.798326969,2.797778306,
9.339,0.4126501437,2.797624826,2.799003016,
9.359,0.4182813946,2.799624205,2.799310973,
9.379,0.4238833279,2.80048275,2.799336318,
9.399,0.4298481522,2.801837444,2.80184435,
9.419,0.4362144316,2.802729845,2.802054799,
