"/ual/odom/twist/twist/linear/x_x","/ual/odom/twist/twist/linear/x_y","/del_uav/KF_twist/x_y"
14.549,0.1058176129,0.1487845675,
14.583,0.1319049156,0.158687513,
14.616,0.1375691351,0.1471783413,
14.649,0.147375026,0.1376774059,
14.683,0.1343566826,0.1170743854,
14.716,0.1453548118,0.111605325,
14.749,0.1241487708,0.1053579254,
14.784,0.1132106499,0.1136361765,
14.816,0.1207158509,0.1326289945,
14.85,0.09727235294,0.122252841,
14.883,0.135257989,0.138347047,
14.916,0.124505682,0.1455523151,
14.949,0.1366940939,0.1491925456,
14.983,0.1411046303,0.1530455677,
15.016,0.1483850913,0.1473252571,
15.049,0.1460911354,0.1364689002,
15.083,0.1446505142,0.1252667774,
15.116,0.1329378004,0.1547660051,
15.149,0.1205335549,0.1649213361,
15.19,0.1395320103,0.1565725762,
15.216,0.1698426722,0.1683051548,
15.25,0.1531451524,0.1611577405,
15.283,0.1666103096,0.1517471315,
15.316,0.1623154809,0.1490048562,
15.349,0.153494263,0.1525779128,
15.383,0.1580097123,0.143533254,
15.416,0.1551558255,0.1500498161,
15.449,0.1270665079,0.1389306771,
15.483,0.1600996323,0.1433100413,
15.516,0.1378613542,0.186411062,
15.549,0.1366200827,0.1858904044,
15.583,0.1628221241,0.2425043886,
15.616,0.1617808087,0.2494704192,
15.649,0.1950087772,0.1976758729,
15.683,0.2589408383,0.1427168286,
15.716,0.2053517458,0.1723903703,
15.749,0.1554336573,0.1521563492,
15.783,0.1647807405,0.1349487204,
15.816,0.1543126985,0.1046783165,
15.849,0.1298974408,0.07635425655,
15.883,0.08935663299,0.07877290241,
15.916,0.0727085131,0.05135037177,
15.949,0.06754580482,0.02272288331,
15.983,0.06270074354,-0.001105612604,
16.016,0.01544576663,0.03150919839,
16.049,-0.03221122521,0.02111020606,
16.083,0.003018396779,0.0243252376,
16.117,0.01222041212,0.04358512865,
16.149,0.01865047521,0.04668664698,
16.183,0.0271702573,0.05030220166,
16.216,0.03337329395,0.06526323157,
16.249,0.04060440331,0.03505165969,
16.283,0.04052646314,0.03996160374,
16.316,0.03010331938,0.07928574875,
16.349,0.02992320748,0.05793180789,
16.383,0.0385714975,0.0642132774,
16.416,0.04586361577,0.08487563118,
16.449,0.03842655481,0.07912961858,
16.483,0.06975126236,0.06886132481,
16.516,0.06825923716,0.0647464771,
16.549,0.06772264961,0.05409646369,
16.583,0.0694929542,0.05396149706,
16.616,0.05819292738,0.05446449157,
16.649,0.06792299411,0.05670973712,
16.683,0.05892898315,0.07985503687,
16.716,0.05341947423,0.069707411,
16.749,0.08971007374,0.06318000364,
16.783,0.059414822,0.0627528249,
16.816,0.06636000729,0.01469165732,
16.849,0.0655056498,0.03158784931,
16.883,-0.0006166853627,0.02935015306,
16.916,0.01317569863,0.001013827607,
16.949,0.008700306113,-0.006045731688,
16.983,0.002027655214,-0.006178762245,
17.016,-0.01209146338,0.02845058043,
17.049,-0.03235752449,0.05966365279,
17.083,0.006901160861,0.06118803595,
17.116,0.04932730558,0.05305091892,
17.149,0.05237607189,0.02125437052,
17.184,0.06610183785,0.05502198667,
