"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
6.217,0.03463821158,10.253,0.327558798,10.264,0.2751246691,
6.237,0.0358450663,10.286,0.3209964005,10.285,0.2751888931,
6.257,0.03706312621,10.328,0.3155257247,10.332,0.2739625573,
6.277,0.03829255556,10.365,0.3109671112,10.356,0.2731050551,
6.297,0.03953304,10.395,0.307165596,10.404,0.2762069106,
6.317,0.04078494136,10.421,0.3039974396,10.436,0.2800364494,
6.337,0.04205045865,10.454,0.3032108184,10.457,0.2805107832,
6.357,0.0433295665,10.486,0.3088753117,10.496,0.2809004188,
6.377,0.04462078593,10.519,0.3136014909,10.532,0.2800856233,
6.397,0.04592233327,10.552,0.3175397239,10.574,0.2805432081,
6.417,0.04723327755,10.579,0.3208259778,10.608,0.2841504812,
6.437,0.04855472321,10.611,0.3173859302,10.639,0.2856897712,
6.457,0.04988655695,10.643,0.3145193682,10.666,0.2858042717,
6.477,0.05122788037,10.686,0.3121331668,10.704,0.2854141891,
6.497,0.05257781444,10.707,0.3101453034,10.725,0.2843657136,
6.517,0.05393645043,10.753,0.3084912579,10.76,0.282988131,
6.537,0.05530561075,10.782,0.3082127669,10.796,0.2805175483,
6.557,0.05668557163,10.826,0.3079813024,10.821,0.2824078798,
6.577,0.05807541095,10.853,0.3077892057,10.865,0.2858381569,
6.597,0.05947399422,10.886,0.3076291027,10.889,0.2863606513,
6.617,0.0608809524,10.919,0.3074959299,10.934,0.2867827713,
6.637,0.06229760583,10.952,0.3073847994,10.955,0.286606282,
6.657,0.0637237671,10.999,0.3081583877,10.998,0.2860126197,
6.677,0.06515849892,11.019,0.3088017174,11.03,0.2909919024,
6.697,0.06660056464,11.054,0.3111921621,11.068,0.2927027047,
6.717,0.06804944284,11.09,0.313183169,11.089,0.2938523293,
6.737,0.06950603981,11.129,0.3148410031,11.132,0.2937504351,
6.757,0.07096969437,11.154,0.315508549,11.165,0.2915945947,
6.777,0.07243891126,11.189,0.3160650786,11.199,0.2970675528,
6.797,0.07391212807,11.219,0.3165292607,11.232,0.2993711233,
6.817,0.07538819355,11.264,0.3169158742,11.273,0.3000090718,
6.837,0.07686685859,11.288,0.3154438169,11.295,0.2997546494,
6.857,0.07834674362,11.325,0.3142173849,11.334,0.2985498905,
6.877,0.07982608974,11.357,0.3131968217,11.372,0.2958421707,
6.897,0.08130363415,11.381,0.3123481371,11.394,0.2984876633,
6.917,0.08277906997,11.416,0.3132877215,11.44,0.3021772504,
6.937,0.08425313091,11.459,0.3159243293,11.46,0.3027926385,
6.957,0.08572636623,11.486,0.3181210384,11.508,0.30210042,
6.977,0.08719901876,11.52,0.3199503681,11.539,0.3001149893,
6.997,0.08867124801,11.553,0.3214745877,11.574,0.297914207,
7.017,0.09014336618,11.587,0.3208882641,11.598,0.3005799651,
7.037,0.09161661735,11.618,0.3182935588,11.631,0.303676635,
7.057,0.09309175722,11.651,0.3161349545,11.666,0.3058647215,
7.077,0.09456895193,11.693,0.3143421371,11.704,0.3050563037,
7.097,0.09604800246,11.72,0.312848217,11.735,0.3033359647,
7.117,0.09752886588,11.754,0.3116092194,11.766,0.3005052507,
7.137,0.09901247093,11.789,0.313925027,11.802,0.3042998612,
7.157,0.1004992581,11.819,0.315856614,11.835,0.3058819771,
7.177,0.1019892458,11.853,0.3174677587,11.869,0.3063619435,
7.197,0.1034822292,11.887,0.3188109986,11.889,0.3056269884,
7.217,0.1049780797,11.92,0.3186669587,11.937,0.3007433116,
7.237,0.1064772531,11.953,0.316692503,11.966,0.2978943288,
7.257,0.107979415,11.985,0.3169031771,11.998,0.3034885228,
7.277,0.1094838796,12.02,0.3202367918,12.031,0.3050898015,
7.297,0.1109911237,12.057,0.3230130987,12.062,0.3055745661,
7.317,0.112502591,12.086,0.3253248065,12.098,0.3034325838,
7.337,0.1140192727,12.12,0.3272507659,12.13,0.3001665175,
7.357,0.115541156,12.158,0.3225085003,12.166,0.2981331646,
7.377,0.1170676541,12.188,0.3204120785,12.208,0.3039896786,
7.397,0.118597862,12.219,0.3186647987,12.219,0.3056429029,
7.417,0.1201310445,12.25,0.3172088704,12.271,0.3072805703,
7.437,0.121667162,12.282,0.3150405841,12.301,0.3061752915,
7.457,0.1232054768,12.319,0.3132344317,12.333,0.3025411069,
7.477,0.1247447483,12.353,0.3117301637,12.364,0.2971374691,
7.497,0.1262837819,12.392,0.3104770663,12.399,0.3039712012,
7.517,0.1278217115,12.422,0.3094328594,12.437,0.307152003,
7.537,0.1293583604,12.456,0.3085631545,12.459,0.3072646856,
7.557,0.1308937108,12.483,0.3089023233,12.494,0.3062966764,
7.577,0.1324279463,12.521,0.3091848394,12.523,0.3056696951,
7.597,0.1339614781,12.553,0.3094203139,12.564,0.3029491305,
7.617,0.1354950892,12.586,0.3096163695,12.602,0.304651916,
7.637,0.1370300055,12.599,0.3097795509,12.626,0.3072895706,
7.657,0.1385670783,12.654,0.3099152008,12.674,0.3108903766,
7.677,0.1401067684,12.687,0.3100279783,12.692,0.3128451109,
7.697,0.1416494123,12.721,0.3131340313,12.74,0.3118574023,
7.717,0.1431953706,12.75,0.3157228131,12.764,0.311678648,
7.737,0.1447452898,12.79,0.317880461,12.79,0.3144535422,
7.757,0.1462991901,12.818,0.3196789498,12.839,0.3181618452,
7.777,0.1478564955,12.848,0.3235369907,12.859,0.3185394108,
7.797,0.1494164471,12.89,0.3267534643,12.901,0.3156870008,
7.817,0.1509785797,12.919,0.3294351122,12.915,0.313752681,
7.837,0.1525429312,12.951,0.3298162134,12.97,0.3072682023,
7.857,0.1541093738,12.995,0.3301345589,13.001,0.3030011654,
7.877,0.1556778081,13.018,0.308265891,13.031,0.303674072,
7.897,0.1572480778,13.053,0.2900397489,13.065,0.3021611869,
7.917,0.1588201403,13.085,0.2748671883,13.089,0.2995061576,
7.937,0.160393937,13.119,0.2603834269,13.126,0.2916049957,
