"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
10.426,0.2999937432,2.389888048,2.390971464,
10.446,0.2999999999,2.396029234,2.403323469,
10.466,0.2999912418,2.403281212,2.40436097,
10.486,0.2999959423,2.410137177,2.415773879,
10.506,0.2999959222,2.415643692,2.416732394,
10.526,0.2999958972,2.425410509,2.426466034,
10.546,0.2999959039,2.434602022,2.427282136,
10.566,0.2999959309,2.440912485,2.439869233,
10.586,0.2999959362,2.447361231,2.440924849,
10.606,0.299995912,2.450160503,2.45682949,
10.626,0.2999959138,2.455333233,2.46706663,
10.646,0.2999959084,2.462659359,2.467919957,
10.666,0.299995888,2.468766689,2.473961811,
10.686,0.2999958851,2.472086906,2.478501764,
10.706,0.2999959023,2.47750783,2.478883175,
10.726,0.2999959249,2.482582569,2.486587882,
10.746,0.2999959164,2.485882998,2.487234804,
10.766,0.2999959206,2.48511529,2.493505723,
