"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
4.056,-0.003093363109,6.653,0.04130500861,6.622,0.03664688393,
4.076,-0.003517049379,6.69,0.04473505822,6.659,0.03818611801,
4.096,-0.003941893975,6.72,0.04783695015,6.698,0.03926123679,
4.116,-0.004364671471,6.753,0.05064528278,6.733,0.03976712003,
4.136,-0.004782658318,6.786,0.05423824932,6.752,0.04016198218,
4.156,-0.005193666888,6.821,0.05755210165,6.795,0.04089517891,
4.176,-0.005595923687,6.854,0.06055479746,6.832,0.04181363434,
4.196,-0.005987870681,6.887,0.06332409112,6.854,0.04229627922,
4.216,-0.006368073299,6.92,0.06583334196,6.891,0.04339719191,
4.236,-0.006735861478,6.953,0.06248471819,6.931,0.04367490858,
4.256,-0.007090625522,6.986,0.05945182046,6.964,0.04425519705,
4.276,-0.007431248626,7.018,0.0577582689,6.996,0.04485363141,
4.296,-0.007755594992,7.052,0.05622331428,7.032,0.04573699087,
4.316,-0.008060308365,7.085,0.05483200342,7.062,0.04693142325,
4.336,-0.008343276816,7.119,0.05357228055,7.099,0.04811949655,
4.356,-0.008603700476,7.153,0.05819750061,7.136,0.04942350835,
4.376,-0.008841538033,7.186,0.06238431941,7.155,0.05012435466,
4.396,-0.009056282471,7.219,0.06618100359,7.194,0.05145777762,
4.416,-0.009247776503,7.252,0.06962469127,7.224,0.05280252919,
4.436,-0.009418118783,7.296,0.07274282537,7.267,0.05441378057,
4.456,-0.00957012343,7.32,0.07602155506,7.296,0.05526286364,
4.476,-0.009706440968,7.352,0.07898993163,7.327,0.05681397021,
4.496,-0.009828671574,7.385,0.08168582601,7.365,0.05823313817,
4.516,-0.00993719273,7.419,0.08412640529,7.401,0.05983905494,
4.536,-0.01003291244,7.45,0.08634473148,7.422,0.06061469391,
4.556,-0.01011673171,7.485,0.08488275739,7.464,0.06220243499,
4.576,-0.01018904153,7.52,0.08355838882,7.504,0.06410862505,
4.596,-0.01024974225,7.552,0.08234805998,7.524,0.06490334868,
4.616,-0.01029763771,7.585,0.08125120082,7.566,0.06624084711,
4.636,-0.01033237127,7.618,0.08501781516,7.604,0.06759382784,
4.656,-0.01035451616,7.651,0.0884291688,7.629,0.06822558492,
4.676,-0.01036489563,7.685,0.09153376932,7.671,0.06960622966,
4.696,-0.01036393929,7.72,0.09434587467,7.697,0.07017822564,
4.716,-0.01035110382,7.752,0.09690659328,7.733,0.07090006024,
4.736,-0.01032658145,7.786,0.09922617953,7.769,0.07142864168,
4.756,-0.01029097137,7.819,0.09657183176,7.802,0.07192870229,
4.776,-0.01024456176,7.852,0.09415237827,7.838,0.07226800174,
4.796,-0.01018674618,7.884,0.09196073748,7.872,0.07286445796,
4.816,-0.01011575291,7.919,0.08996601295,7.895,0.07328396291,
4.836,-0.01003123953,7.962,0.09059135776,7.932,0.07332465053,
4.856,-0.009933794209,7.982,0.09115464316,7.947,0.0735340789,
